Wilayah Kereta Api;Jumlah Penumpang Kereta Api (Ribu Orang);;;;;;;;;;;;
;2021;;;;;;;;;;;;
;Januari;Februari;Maret;April;Mei;Juni;Juli;Agustus;September;Oktober;November;Desember;
Jabodetabek;10149.00;9796.00;12041.00;12452.00;12230.00;11978.00;5102.00;5947.00;-;-;-;-;
Non Jabodetabek (Jawa);1482.00;1427.00;1954.00;2138.00;2397.00;2335.00;544.00;532.00;-;-;-;-;
Jawa (Jabodetabek+Non Jabodetabek);11631.00;11223.00;13995.00;14590.00;14627.00;14313.00;5646.00;6479.00;-;-;-;-;
Sumatera;270.00;256.00;289.00;274.00;230.00;243.00;101.00;36.00;-;-;-;-;
Total;11901.00;11479.00;14284.00;14864.00;14857.00;14556.00;5747.00;6515.00;-;-;-;-;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
